Sl. No,Company Name,No. of Offers
1,DXC Technology,57
2,Accenture,48
3,Mindtree,35
4,Cognizant,25
5,LTI,18
6,Legato Technologies,14
7,Infosys,12
8,Amazon,10
9,TCS,10
10,Inmovidu Technologies,9
11,PWC,7
12,LTTS,7
13,Alvaria,6
14,Paytm,5
15,Mercedes Benz,5
16,QUALITEST,5
17,Innovatia,5
18,Ellucian Higher Education Systems,4
19,Comviva,4
20,Veripure Lab,4
21,Mphasis,4
22,Bluechip Software,4
23,Robert Bosch,4
24,Blue Optima,3
25,HCL Technologies,3
26,Climber Knowledge,3
27,Infogain,3
28,Intellipat,3
29,DevOps Enabler & Co,3
30,Mindteck,3
31,BETSOL,2
32,Zwayam,2
33,Hexaware Technologies,2
34,The Math,2
35,Oracle,2
36,Pin Click,2
37,EY,2
38,NTT Data,2
39,FACE,2
40,Rubicon Skill Development,2
41,Watsonite,2
42,Knowlexon,2
43,Sonata Software,2
44,Hashedin,2
45,Relevance Lab,2
46,Numocity,2
47,ITC Infotech,2
48,Mindset Consulting,2
49,Dotgo,2
50,IQVIA,2
51,Taal Tech,2
52,Surya Software,1
53,Trifacta India,1
54,Informatica,1
55,42Gears Mobility Systems,1
56,Quotient Technology,1
57,"JE International, Japan",1
58,Axis Bank,1
59,Infrrd Pvt ltd,1
60,"Multisoup, Japan",1
61,Sony India Software,1
62,"Hasegawa co, Japan",1
63,Phonepe,1
64,Practo,1
65,TEKsystems Global Services,1
66,Centilytics,1
67,Eurofins,1
68,Cimpress,1
69,Byju's,1
70,Empower Retirement,1
71,Sprinklr,1
72,Social Panga,1
73,Rakuten,1
74,Alien Brains,1
75,Perfios,1
76,Square Yards,1
77,nslHub,1
78,Hour Glass Research,1
79,Cerner,1
80,Indegene,1
81,Altimetrik,1
82,Hasegawa Kogyo,1
83,HP Inc,1
84,Dover India,1
85,Shadowfax,1
86,Entune IT Consulting,1
87,LTI - ICC,1
88,Invensis Technologies,1
89,Fidelity Information Services,1
90,Wiley mthree,1
91,Netcracker,1
92,Saarthi.ai,1
93,Dassault System,1
94,Brillio,1
95,Aspect Technology,1
96,Attra Infotech,1
97,Taggd,1
98,Avaali Solutions,1
99,Indigo Paints Limited,1
100,Flex Trade,1
101,Taegutec India,1
102,Wissen Technology,1
103,TVS Motors Ltd,1
104,Prost Technologies Pvt. Ltd,1
105,Wipro,1
106,Capgemini Technology Services,1
107,CAMPK12,1
108,Beegru,1
109,SKW Investment Advisor,1
110,Deloitte,1
111,Neilsoft,1
112,Meredith Corporation,1
113,Stratogent Technology,1
114,Timken India,1
115,Societe Generale,1
116,Trelleborg,1
117,First QA,1
118,SP Robotic Works,1
119,KPISOFT Technologies,1
120,Axiscades,1
