Company Name,No. of Offers (21-22),No. of Offers(20-21),No. of Offers(19-20),No. of Offers(18-19),Total
Cerner,0,1,0,0,1
Altimetrik,0,1,0,0,1
Hasegawa Kogyo,0,1,0,0,1
HP Inc,0,1,0,0,1
Dover India,0,1,0,0,1
Shadowfax,0,1,0,0,1
Entune IT Consulting,0,1,0,0,1
LTI - ICC,0,1,0,0,1
Invensis Technologies,0,1,0,0,1
Fidelity Information Services,0,1,0,0,1
Wiley mthree,0,1,0,0,1
Netcracker,0,1,0,0,1
Saarthi.ai,0,1,0,0,1
Dassault System,0,1,0,0,1
Brillio,1,1,0,0,2
Aspect Technology,0,1,0,0,1
Attra Infotech,0,1,0,0,1
Taggd,0,1,0,0,1
Avaali Solutions,0,1,0,0,1
Indigo Paints Limited,0,1,0,0,1
Flex Trade,0,1,0,0,1
Taegutec India,0,1,0,0,1
Wissen Technology,0,1,0,0,1
TVS Motors Ltd,0,1,0,0,1
Prost Technologies Pvt. Ltd,0,1,0,0,1
Capgemini Technology Services,0,1,0,0,1
CAMPK12,0,1,0,0,1
Beegru,0,1,0,0,1
SKW Investment Advisor,0,1,0,0,1
Deloitte,0,1,0,0,1
Neilsoft,0,1,0,0,1
Meredith Corporation,0,1,0,0,1
Stratogent Technology,0,1,0,0,1
Timken India,0,1,0,0,1
Societe Generale,0,1,0,0,1
First QA,0,1,0,0,1
SP Robotic Works,0,1,0,0,1
KPISOFT Technologies,0,1,0,0,1
Axiscades,0,1,0,0,1
Capgemini,37,0,0,0,37
Kyndryl,16,0,0,0,16
Koch,18,0,0,0,18
Persistent Systems,7,0,0,0,7
L&T Infotech,6,0,0,0,6
JP Morgan Chase & Co,4,0,0,0,4
Accolite Digital,3,0,0,0,3
BlueOptima,2,0,0,0,2
Sap Labs,2,0,0,0,2
Ellucian,2,0,0,0,2
DELL Technologies,2,0,0,0,2
Keyance,2,0,0,0,2
Birlasoft,2,0,0,0,2
Amadeus Software,2,0,0,0,2
TEKsystems Global,1,0,0,0,1
Onedirect,1,0,0,0,1
Tally Solutions,1,0,0,0,1
HashedIn By Deloitte,1,0,0,0,1
KPIT Technologies,1,0,0,0,1
